iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
BGD,Asia,Bangladesh,2020-07-14,186894.0,3099.0,2391.0,39.0,1134.827,18.817,14.518,0.237,13453.0,966400.0,5.868,0.082,12846.0,0.078,samples tested,74.54,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-15,190057.0,3163.0,2424.0,33.0,1154.033,19.206,14.719,0.2,14002.0,980402.0,5.953,0.085,12607.0,0.077,samples tested,74.54,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-16,193590.0,3533.0,2457.0,33.0,1175.486,21.453,14.919,0.2,12829.0,993231.0,6.031,0.078,12207.0,0.074,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-17,196323.0,2733.0,2496.0,39.0,1192.08,16.595,15.156,0.237,13520.0,1006751.0,6.113,0.082,12211.0,0.074,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-18,199357.0,3034.0,2547.0,51.0,1210.503,18.423,15.465,0.31,10923.0,1017674.0,6.179,0.066,12174.0,0.074,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-19,202066.0,2709.0,2581.0,34.0,1226.952,16.449,15.672,0.206,10625.0,1028299.0,6.244,0.065,12539.0,0.076,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-20,204525.0,2459.0,2618.0,37.0,1241.883,14.931,15.897,0.225,13362.0,1041661.0,6.325,0.081,12673.0,0.077,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-21,207453.0,2928.0,2668.0,50.0,1259.662,17.779,16.2,0.304,12898.0,1054559.0,6.403,0.078,12594.0,0.076,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-22,210510.0,3057.0,2709.0,41.0,1278.224,18.562,16.449,0.249,12050.0,1066609.0,6.476,0.073,12315.0,0.075,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-23,213254.0,2744.0,2751.0,42.0,1294.886,16.662,16.704,0.255,12398.0,1079007.0,6.552,0.075,12254.0,0.074,samples tested,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-24,216110.0,2856.0,2801.0,50.0,1312.228,17.342,17.008,0.304,,,,,,,,77.31,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-25,218658.0,2548.0,2836.0,35.0,1327.699,15.472,17.22,0.213,,,,,,,,,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BGD,Asia,Bangladesh,2020-07-26,221178.0,2520.0,2874.0,38.0,1343.001,15.302,17.451,0.231,,,,,,,,,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59
BRB,North America,Barbados,2020-03-18,1.0,1.0,0.0,0.0,3.48,3.48,0.0,0.0,,,,,,,,38.89,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-19,1.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-20,2.0,1.0,0.0,0.0,6.96,3.48,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-21,6.0,4.0,0.0,0.0,20.879,13.919,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-22,14.0,8.0,0.0,0.0,48.718,27.839,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-23,17.0,3.0,0.0,0.0,59.157,10.439,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-24,17.0,0.0,0.0,0.0,59.157,0.0,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-25,18.0,1.0,0.0,0.0,62.637,3.48,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BRB,North America,Barbados,2020-03-26,18.0,0.0,0.0,0.0,62.637,0.0,0.0,0.0,,,,,,,,50.0,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
