iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
PAK,Asia,Pakistan,2020-06-21,176617.0,4951.0,3501.0,119.0,799.561,22.414,15.849,0.539,28855.0,1071642.0,4.851,0.131,29011.0,0.131,tests performed,58.33,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-22,181088.0,4471.0,3590.0,89.0,819.802,20.241,16.252,0.403,30520.0,1102162.0,4.99,0.138,29216.0,0.132,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-23,185034.0,3946.0,3695.0,105.0,837.666,17.864,16.728,0.475,24599.0,1126761.0,5.101,0.111,29157.0,0.132,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-24,188926.0,3892.0,3755.0,60.0,855.285,17.619,16.999,0.272,23380.0,1150141.0,5.207,0.106,28480.0,0.129,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-25,192970.0,4044.0,3903.0,148.0,873.593,18.308,17.669,0.67,21835.0,1171976.0,5.306,0.099,27138.0,0.123,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-26,195745.0,2775.0,3962.0,59.0,886.156,12.563,17.936,0.267,21041.0,1193017.0,5.401,0.095,25987.0,0.118,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-27,198883.0,3138.0,4035.0,73.0,900.362,14.206,18.267,0.33,21123.0,1214140.0,5.497,0.096,24479.0,0.111,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-28,202955.0,4072.0,4118.0,83.0,918.796,18.434,18.643,0.376,25013.0,1239153.0,5.61,0.113,23930.0,0.108,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-29,206512.0,3557.0,4167.0,49.0,934.899,16.103,18.864,0.222,23009.0,1262162.0,5.714,0.104,22857.0,0.103,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-06-30,209337.0,2825.0,4304.0,137.0,947.688,12.789,19.485,0.62,20930.0,1283092.0,5.809,0.095,22333.0,0.101,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-01,213470.0,4133.0,4395.0,91.0,966.398,18.71,19.897,0.412,22418.0,1305510.0,5.91,0.101,22196.0,0.1,tests performed,60.19,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-02,217809.0,4339.0,4473.0,78.0,986.041,19.643,20.25,0.353,22128.0,1327638.0,6.01,0.1,22237.0,0.101,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-03,221896.0,4087.0,4551.0,78.0,1004.544,18.502,20.603,0.353,23135.0,1350773.0,6.115,0.105,22537.0,0.102,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-04,225283.0,3387.0,4619.0,68.0,1019.877,15.333,20.911,0.308,22052.0,1372825.0,6.215,0.1,22669.0,0.103,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-05,228474.0,3191.0,4712.0,93.0,1034.323,14.446,21.332,0.421,25527.0,1398352.0,6.33,0.116,22743.0,0.103,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-06,231818.0,3344.0,4762.0,50.0,1049.462,15.139,21.558,0.226,22271.0,1420623.0,6.431,0.101,22637.0,0.102,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-07,234509.0,2691.0,4839.0,77.0,1061.644,12.182,21.907,0.349,24530.0,1445153.0,6.542,0.111,23152.0,0.105,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-08,237489.0,2980.0,4922.0,83.0,1075.135,13.491,22.282,0.376,21951.0,1467104.0,6.642,0.099,23085.0,0.105,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-09,240848.0,3359.0,4983.0,61.0,1090.341,15.207,22.559,0.276,24333.0,1491437.0,6.752,0.11,23400.0,0.106,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-10,243599.0,2751.0,5058.0,75.0,1102.795,12.454,22.898,0.34,23421.0,1514858.0,6.858,0.106,23441.0,0.106,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-11,246351.0,2752.0,5123.0,65.0,1115.254,12.459,23.192,0.294,23569.0,1538427.0,6.965,0.107,23657.0,0.107,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-12,248872.0,2521.0,5197.0,74.0,1126.667,11.413,23.527,0.335,24211.0,1562638.0,7.074,0.11,23469.0,0.106,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-13,251625.0,2753.0,5266.0,69.0,1139.13,12.463,23.84,0.312,22532.0,1585170.0,7.176,0.102,23507.0,0.106,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-14,253604.0,1979.0,5320.0,54.0,1148.089,8.959,24.084,0.244,21020.0,1606190.0,7.271,0.095,23005.0,0.104,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-15,255769.0,2165.0,5386.0,66.0,1157.89,9.801,24.383,0.299,21749.0,1627939.0,7.37,0.098,22976.0,0.104,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-16,257914.0,2145.0,5426.0,40.0,1167.601,9.711,24.564,0.181,24244.0,1652183.0,7.48,0.11,22964.0,0.104,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-17,259999.0,2085.0,5475.0,49.0,1177.04,9.439,24.786,0.222,23907.0,1676090.0,7.588,0.108,23033.0,0.104,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-18,261917.0,1918.0,5522.0,47.0,1185.722,8.683,24.999,0.213,23011.0,1699101.0,7.692,0.104,22953.0,0.104,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-19,263496.0,1579.0,5568.0,46.0,1192.871,7.148,25.207,0.208,22559.0,1721660.0,7.794,0.102,22717.0,0.103,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-20,265083.0,1587.0,5599.0,31.0,1200.055,7.184,25.347,0.14,19108.0,1740768.0,7.881,0.087,22228.0,0.101,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-21,266096.0,1013.0,5639.0,40.0,1204.641,4.586,25.528,0.181,17783.0,1758551.0,7.961,0.081,21766.0,0.099,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-22,267428.0,1332.0,5677.0,38.0,1210.671,6.03,25.7,0.172,18331.0,1776882.0,8.044,0.083,21278.0,0.096,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-23,269191.0,1763.0,5709.0,32.0,1218.653,7.981,25.845,0.145,22408.0,1799290.0,8.146,0.101,21015.0,0.095,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-24,270400.0,1209.0,5763.0,54.0,1224.126,5.473,26.09,0.244,22006.0,1821296.0,8.245,0.1,20744.0,0.094,tests performed,66.67,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
PAK,Asia,Pakistan,2020-07-25,271887.0,1487.0,5787.0,24.0,1230.858,6.732,26.198,0.109,23630.0,1844926.0,8.352,0.107,20832.0,0.094,tests performed,,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27
