iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
NER,Africa,Niger,2020-04-24,671.0,9.0,24.0,2.0,27.72,0.372,0.991,0.083,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-04-25,681.0,10.0,24.0,0.0,28.133,0.413,0.991,0.0,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-04-26,684.0,3.0,27.0,3.0,28.257,0.124,1.115,0.124,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-04-27,696.0,12.0,29.0,2.0,28.752,0.496,1.198,0.083,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-04-28,701.0,5.0,29.0,0.0,28.959,0.207,1.198,0.0,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-04-29,709.0,8.0,31.0,2.0,29.289,0.33,1.281,0.083,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-04-30,713.0,4.0,32.0,1.0,29.455,0.165,1.322,0.041,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-05-01,719.0,6.0,32.0,0.0,29.703,0.248,1.322,0.0,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-05-02,728.0,9.0,33.0,1.0,30.074,0.372,1.363,0.041,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
NER,Africa,Niger,2020-05-03,736.0,8.0,35.0,2.0,30.405,0.33,1.446,0.083,,,,,,,,61.11,24206636.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
