iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
CRI,North America,Costa Rica,2020-05-07,761.0,6.0,6.0,0.0,149.388,1.178,1.178,0.0,274.0,10375.0,2.037,0.054,149.0,0.029,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-08,765.0,4.0,6.0,0.0,150.173,0.785,1.178,0.0,452.0,10827.0,2.125,0.089,189.0,0.037,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-09,773.0,8.0,6.0,0.0,151.744,1.57,1.178,0.0,449.0,11276.0,2.214,0.088,240.0,0.047,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-10,780.0,7.0,6.0,0.0,153.118,1.374,1.178,0.0,592.0,11868.0,2.33,0.116,308.0,0.06,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-11,792.0,12.0,6.0,0.0,155.474,2.356,1.178,0.0,120.0,11988.0,2.353,0.024,310.0,0.061,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-12,801.0,9.0,7.0,1.0,157.24,1.767,1.374,0.196,73.0,12061.0,2.368,0.014,310.0,0.061,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-13,804.0,3.0,7.0,0.0,157.829,0.589,1.374,0.0,446.0,12507.0,2.455,0.088,344.0,0.068,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-14,815.0,11.0,7.0,0.0,159.989,2.159,1.374,0.0,315.0,12822.0,2.517,0.062,350.0,0.069,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-15,830.0,15.0,8.0,1.0,162.933,2.945,1.57,0.196,209.0,13031.0,2.558,0.041,315.0,0.062,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-16,843.0,13.0,8.0,0.0,165.485,2.552,1.57,0.0,665.0,13696.0,2.689,0.131,346.0,0.068,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-17,853.0,10.0,10.0,2.0,167.448,1.963,1.963,0.393,576.0,14272.0,2.802,0.113,343.0,0.067,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-18,863.0,10.0,10.0,0.0,169.411,1.963,1.963,0.0,206.0,14478.0,2.842,0.04,356.0,0.07,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-19,866.0,3.0,10.0,0.0,170.0,0.589,1.963,0.0,138.0,14616.0,2.869,0.027,365.0,0.072,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-20,882.0,16.0,10.0,0.0,173.141,3.141,1.963,0.0,434.0,15050.0,2.954,0.085,363.0,0.071,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-21,897.0,15.0,10.0,0.0,176.086,2.945,1.963,0.0,168.0,15218.0,2.987,0.033,342.0,0.067,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-22,903.0,6.0,10.0,0.0,177.263,1.178,1.963,0.0,486.0,15704.0,3.083,0.095,382.0,0.075,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-23,911.0,8.0,10.0,0.0,178.834,1.57,1.963,0.0,235.0,15939.0,3.129,0.046,320.0,0.063,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-24,918.0,7.0,10.0,0.0,180.208,1.374,1.963,0.0,410.0,16349.0,3.209,0.08,297.0,0.058,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-25,930.0,12.0,10.0,0.0,182.564,2.356,1.963,0.0,157.0,16506.0,3.24,0.031,290.0,0.057,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-26,951.0,21.0,10.0,0.0,186.686,4.122,1.963,0.0,125.0,16631.0,3.265,0.025,288.0,0.057,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-27,956.0,5.0,10.0,0.0,187.668,0.982,1.963,0.0,649.0,17280.0,3.392,0.127,319.0,0.063,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-28,984.0,28.0,10.0,0.0,193.164,5.497,1.963,0.0,374.0,17654.0,3.466,0.073,348.0,0.068,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-29,1000.0,16.0,10.0,0.0,196.305,3.141,1.963,0.0,540.0,18194.0,3.572,0.106,356.0,0.07,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-30,1022.0,22.0,10.0,0.0,200.624,4.319,1.963,0.0,467.0,18661.0,3.663,0.092,389.0,0.076,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-05-31,1047.0,25.0,10.0,0.0,205.531,4.908,1.963,0.0,515.0,19176.0,3.764,0.101,404.0,0.079,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CRI,North America,Costa Rica,2020-06-01,1056.0,9.0,10.0,0.0,207.298,1.767,1.963,0.0,267.0,19443.0,3.817,0.052,420.0,0.082,people tested,72.22,5094114.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
