iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
ZAF,Africa,South Africa,2020-03-24,402.0,128.0,0.0,0.0,6.778,2.158,0.0,0.0,2714.0,15529.0,0.262,0.046,1803.0,0.03,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-25,557.0,155.0,0.0,0.0,9.392,2.613,0.0,0.0,,,,,2133.0,0.036,people tested,55.56,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-26,709.0,152.0,0.0,0.0,11.954,2.563,0.0,0.0,,20471.0,0.345,,2234.0,0.038,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-27,927.0,218.0,2.0,2.0,15.63,3.676,0.034,0.034,8066.0,28537.0,0.481,0.136,3157.0,0.053,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-28,1170.0,243.0,2.0,0.0,19.727,4.097,0.034,0.0,3426.0,31963.0,0.539,0.058,3505.0,0.059,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-29,1187.0,17.0,2.0,0.0,20.014,0.287,0.034,0.0,3630.0,35593.0,0.6,0.061,3754.0,0.063,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-30,1280.0,93.0,2.0,0.0,21.582,1.568,0.034,0.0,2816.0,38409.0,0.648,0.047,3656.0,0.062,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-03-31,1326.0,46.0,3.0,1.0,22.358,0.776,0.051,0.017,2663.0,41072.0,0.693,0.045,3649.0,0.062,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-01,1353.0,27.0,5.0,2.0,22.813,0.455,0.084,0.034,3220.0,44292.0,0.747,0.054,3756.0,0.063,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-02,1380.0,27.0,5.0,0.0,23.268,0.455,0.084,0.0,3673.0,47965.0,0.809,0.062,3928.0,0.066,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-03,1462.0,82.0,5.0,0.0,24.651,1.383,0.084,0.0,2396.0,50361.0,0.849,0.04,3118.0,0.053,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-04,1505.0,43.0,7.0,2.0,25.376,0.725,0.118,0.034,3576.0,53937.0,0.909,0.06,3139.0,0.053,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-05,1585.0,80.0,9.0,2.0,26.725,1.349,0.152,0.034,2936.0,56873.0,0.959,0.05,3040.0,0.051,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-06,1655.0,70.0,11.0,2.0,27.905,1.18,0.185,0.034,1225.0,58098.0,0.98,0.021,2813.0,0.047,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-07,1686.0,31.0,12.0,1.0,28.428,0.523,0.202,0.017,,,,,2838.0,0.048,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-08,1749.0,63.0,13.0,1.0,29.49,1.062,0.219,0.017,,63776.0,1.075,,2783.0,0.047,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-09,1845.0,96.0,18.0,5.0,31.108,1.619,0.303,0.084,5098.0,68874.0,1.161,0.086,2987.0,0.05,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-10,1934.0,89.0,18.0,0.0,32.609,1.501,0.303,0.0,4154.0,73028.0,1.231,0.07,3238.0,0.055,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-11,2003.0,69.0,24.0,6.0,33.772,1.163,0.405,0.101,2025.0,75053.0,1.265,0.034,3017.0,0.051,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-12,2028.0,25.0,25.0,1.0,34.194,0.422,0.422,0.017,5032.0,80085.0,1.35,0.085,3316.0,0.056,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-13,2173.0,145.0,25.0,0.0,36.639,2.445,0.422,0.0,3578.0,83663.0,1.411,0.06,3652.0,0.062,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-14,2272.0,99.0,27.0,2.0,38.308,1.669,0.455,0.034,3359.0,87022.0,1.467,0.057,3726.0,0.063,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-15,2415.0,143.0,27.0,0.0,40.719,2.411,0.455,0.0,3493.0,90515.0,1.526,0.059,3820.0,0.064,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-16,2506.0,91.0,34.0,7.0,42.254,1.534,0.573,0.118,4545.0,95060.0,1.603,0.077,3741.0,0.063,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-17,2605.0,99.0,48.0,14.0,43.923,1.669,0.809,0.236,5767.0,100827.0,1.7,0.097,3971.0,0.067,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-18,2783.0,178.0,50.0,2.0,46.924,3.001,0.843,0.034,7374.0,108201.0,1.824,0.124,4735.0,0.08,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-19,3034.0,251.0,52.0,2.0,51.156,4.232,0.877,0.034,6510.0,114711.0,1.934,0.11,4947.0,0.083,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-20,3158.0,124.0,54.0,2.0,53.247,2.091,0.91,0.034,6799.0,121510.0,2.049,0.115,5407.0,0.091,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-21,3300.0,142.0,58.0,4.0,55.641,2.394,0.978,0.067,5427.0,126937.0,2.14,0.092,5702.0,0.096,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-22,3465.0,165.0,58.0,0.0,58.423,2.782,0.978,0.0,6837.0,133774.0,2.256,0.115,6180.0,0.104,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-23,3635.0,170.0,65.0,7.0,61.29,2.866,1.096,0.118,9796.0,143570.0,2.421,0.165,6930.0,0.117,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
ZAF,Africa,South Africa,2020-04-24,3953.0,318.0,75.0,10.0,66.651,5.362,1.265,0.169,8820.0,152390.0,2.569,0.149,7366.0,0.124,people tested,87.96,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13
